"151","Watford","Man_United","5.25","3.89","1.72","2","4"
"152","West_Brom","Newcastle","2.37","3.1","3.5","2","2"
"153","Arsenal","Huddersfield","1.19","7.5","17","5","0"
"154","Bournemouth","Burnley","2","3.39","4.33","1","2"
"155","Chelsea","Swansea","1.18","8","17","1","0"
"156","Everton","West_Ham","2.37","3.29","3.29","4","0"
"157","Man_City","Southampton","1.19","8","15","2","1"
"158","Stoke","Liverpool","6.5","4.5","1.55","0","3"
"159","Arsenal","Man_United","2.5","3.39","3","1","3"
"160","Brighton","Liverpool","7.5","4.5","1.5","1","5"
"161","Chelsea","Newcastle","1.25","6.5","15","3","1"
"162","Everton","Huddersfield","1.72","3.79","5.5","2","0"
"163","Leicester","Burnley","1.83","3.6","5","1","0"
"164","Stoke","Swansea","1.95","3.39","4.5","2","1"
"165","Watford","Tottenham","5","4","1.72","1","1"
"166","West_Brom","Crystal_Palace","2.5","3.2","3.2","0","0"
"167","Bournemouth","Southampton","2.89","3.25","2.39","1","1"
"168","Man_City","West_Ham","1.08","11","21","2","1"
"169","Burnley","Watford","2.6","3.25","3","1","0"
"170","Crystal_Palace","Bournemouth","2.04","3.5","4","2","2"
"171","Huddersfield","Brighton","2.7","3.1","3","2","0"
"172","Newcastle","Leicester","2.62","3.29","2.89","2","3"
"173","Swansea","West_Brom","2.7","3.1","3","1","0"
"174","Tottenham","Stoke","1.28","6.5","11","5","1"
"175","West_Ham","Chelsea","7.5","4.5","1.5","1","0"
"176","Liverpool","Everton","1.3","6","11","1","1"
"177","Man_United","Man_City","3.39","3.5","2.25","1","2"
"178","Southampton","Arsenal","4","3.75","1.95","1","1"
"179","Burnley","Stoke","2.29","3.2","3.6","1","0"
"180","Crystal_Palace","Watford","2.29","3.5","3.25","2","1"
"181","Huddersfield","Chelsea","9","4.5","1.44","1","3"
"182","Liverpool","West_Brom","1.22","7","15","0","0"
"183","Man_United","Bournemouth","1.28","6","12","1","0"
"184","Newcastle","Everton","2.39","3.29","3.25","0","1"
"185","Southampton","Leicester","2.1","3.39","3.89","1","4"
"186","Swansea","Man_City","15","6.5","1.25","0","4"
"187","Tottenham","Brighton","1.25","6.5","15","2","0"
"188","West_Ham","Arsenal","5.25","4.2","1.66","0","0"
"189","Arsenal","Newcastle","1.25","6.5","14","1","0"
"190","Brighton","Burnley","2.62","3","3.2","0","0"
"191","Chelsea","Southampton","1.39","5","9","1","0"
"192","Leicester","Crystal_Palace","1.89","3.6","4.5","0","3"
"193","Man_City","Tottenham","1.55","4.59","6","4","1"
"194","Stoke","West_Ham","2.29","3.29","3.5","0","3"
"195","Watford","Huddersfield","1.8","3.75","5","1","4"
"196","Bournemouth","Liverpool","6.5","4.5","1.53","0","4"
"197","West_Brom","Man_United","6.5","4","1.6","1","2"
"198","Everton","Swansea","1.72","3.75","5.5","3","1"
"199","Arsenal","Liverpool","2.54","3.6","2.79","3","3"
"200","Brighton","Watford","2.62","3.2","3","1","0"
"201","Burnley","Tottenham","7","4.2","1.55","0","3"
"202","Everton","Chelsea","6","3.89","1.66","0","0"
"203","Leicester","Man_United","4.5","3.6","1.9","2","2"
"204","Man_City","Bournemouth","1.12","11","23","4","0"
"205","Southampton","Huddersfield","1.61","3.89","6.5","1","1"
"206","Stoke","West_Brom","2.29","3.25","3.5","3","1"
"207","Swansea","Crystal_Palace","3.29","3.2","2.45","1","1"
"208","West_Ham","Newcastle","2.1","3.39","3.89","2","3"
"209","Bournemouth","West_Ham","2.79","3.29","2.75","3","3"
"210","Chelsea","Brighton","1.19","7.5","17","2","0"
"211","Huddersfield","Stoke","2.5","3.2","3.2","1","1"
"212","Liverpool","Swansea","1.16","9","19","5","0"
"213","Man_United","Burnley","1.25","6.5","15","2","2"
"214","Tottenham","Southampton","1.36","5.25","10","5","2"
"215","Watford","Leicester","2.54","3.5","2.87","2","1"
"216","West_Brom","Everton","2.54","3.2","3.1","0","0"
"217","Newcastle","Man_City","13","6.75","1.25","0","1"
"218","Crystal_Palace","Arsenal","4.5","4","1.8","2","3"
"219","Bournemouth","Everton","2.37","3.29","3.29","2","1"
"220","Chelsea","Stoke","1.16","8.5","19","5","0"
"221","Huddersfield","Burnley","2.37","3.1","3.5","0","0"
"222","Liverpool","Leicester","1.3","6","11","2","1"
"223","Man_United","Southampton","1.36","5.5","9","0","0"
"224","Newcastle","Brighton","2.14","3.2","4","0","0"
"225","Watford","Swansea","1.66","3.79","6","1","2"
"226","Crystal_Palace","Man_City","11","6.5","1.28","0","0"
"227","West_Brom","Arsenal","5","4","1.72","1","1"
"228","Brighton","Bournemouth","2.37","3.2","3.39","2","2"
"229","Burnley","Liverpool","7.5","4.5","1.5","1","2"
"230","Everton","Man_United","5.5","3.5","1.8","0","2"
"231","Leicester","Huddersfield","1.66","3.79","6","3","0"
"232","Stoke","Newcastle","2.29","3.29","3.5","0","1"
"233","Man_City","Watford","1.12","8.5","19","3","1"
"234","Southampton","Crystal_Palace","1.9","3.39","4","1","2"
"235","Swansea","Tottenham","12","4.75","1.3","0","2"
"236","West_Ham","West_Brom","1.9","3.39","4.09","2","1"
"237","Arsenal","Chelsea","2.6","3.39","2.6","2","2"
"238","Tottenham","West_Ham","1.25","6","10","1","1"
"239","Chelsea","Leicester","1.3","5.75","12","0","0"
"240","Crystal_Palace","Burnley","2","3.29","4.5","1","0"
"241","Huddersfield","West_Ham","2.62","3.1","3.1","1","4"
"242","Newcastle","Swansea","1.95","3.39","4.5","1","1"
"243","Tottenham","Everton","1.28","6","13","4","0"
"244","Watford","Southampton","2.5","3.39","3","2","2"
"245","West_Brom","Brighton","2.14","3","4.33","2","0"
"246","Bournemouth","Arsenal","4.75","4.2","1.75","2","1"
"247","Liverpool","Man_City","3.1","3.75","2.29","4","3"
"248","Man_United","Stoke","1.22","7","15","3","0"
"249","Arsenal","Crystal_Palace","1.5","4.75","7","4","1"
"250","Brighton","Chelsea","6.5","3.89","1.61","0","4"
"251","Burnley","Man_United","7.5","3.89","1.57","0","1"
"252","Everton","West_Brom","2.14","3.2","4","1","1"
"253","Leicester","Watford","1.85","3.89","4.33","2","0"
"254","Man_City","Newcastle","1.12","10","26","3","1"
"255","Stoke","Huddersfield","2.04","3.39","4.09","2","0"
"256","West_Ham","Bournemouth","2","3.6","4","1","1"
"257","Southampton","Tottenham","5.75","4.09","1.64","1","1"
"258","Swansea","Liverpool","12","5.75","1.3","1","0"
"259","Huddersfield","Liverpool","12","5.75","1.3","0","3"
"260","Swansea","Arsenal","7","4.59","1.5","3","1"
"261","West_Ham","Crystal_Palace","3.1","3.25","2.54","1","1"
"262","Chelsea","Bournemouth","1.28","6.5","11","0","3"
"263","Everton","Leicester","3","3.2","2.62","2","1"
"264","Man_City","West_Brom","1.14","10","21","3","0"
"265","Newcastle","Burnley","2.2","3.2","3.89","1","1"
"266","Southampton","Brighton","1.75","3.5","6","1","1"
"267","Stoke","Watford","2.25","3.5","3.39","0","0"
"268","Tottenham","Man_United","2.35","3.29","3.39","2","0"
"269","Arsenal","Everton","1.3","5.75","12","5","1"
"270","Bournemouth","Stoke","1.9","3.7","4.33","2","1"
"271","Brighton","West_Ham","2.35","3","3.7","3","1"
"272","Burnley","Man_City","13","6","1.28","1","1"
"273","Leicester","Swansea","1.8","3.6","5.25","1","1"
"274","Man_United","Huddersfield","1.16","8.5","19","2","0"
"275","West_Brom","Southampton","2.54","3.2","3.1","2","3"
"276","Crystal_Palace","Newcastle","2.04","3.39","4.2","1","1"
"277","Liverpool","Tottenham","2.1","3.75","3.6","2","2"
"278","Watford","Chelsea","6.25","4","1.61","4","1"
"279","Everton","Crystal_Palace","2.25","3.25","3.2","3","1"
"280","Man_City","Leicester","1.19","6.5","13","5","1"
"281","Stoke","Brighton","2.2","3.2","3.39","1","1"
"282","Swansea","Burnley","2.37","3","3.25","1","0"
"283","Tottenham","Arsenal","2","3.6","3.5","1","0"
"284","West_Ham","Watford","2.5","3.29","2.79","2","0"
"285","Huddersfield","Bournemouth","3.25","3.2","2.25","4","1"
"286","Newcastle","Man_United","5.5","3.75","1.61","1","0"
"287","Southampton","Liverpool","4.2","3.79","1.8","0","2"
"288","Chelsea","West_Brom","1.36","4.75","8","3","0"
"289","Bournemouth","Newcastle","2.1","3.5","3.79","2","2"
"290","Brighton","Swansea","2.14","3.25","4","4","1"
"291","Burnley","Southampton","2.89","3.1","2.79","1","1"
"292","Leicester","Stoke","1.72","3.89","5.25","1","1"
"293","Liverpool","West_Ham","1.22","7.5","13","4","1"
"294","Watford","Everton","2.25","3.39","3.5","1","0"
"295","West_Brom","Huddersfield","1.95","3.29","4.75","1","2"
